Voltage,Time_ms 
000,3317783468
000,3317784097
000,3317784689
000,3317785276
000,3317785866
000,3317786458
000,3317787047
000,3317787633
000,3317788217
000,3317788810
000,3317789394
000,3317789985
026,3317790572
074,3317791163
124,3317791748
156,3317792333
177,3317792919
192,3317793514
203,3317794105
210,3317794691
215,3317795275
216,3317795870
215,3317796451
179,3317797030
132,3317797618
085,3317798210
043,3317798803
001,3317799389
000,3317799982
000,3317800574
000,3317801158
000,3317801745
000,3317802331
000,3317802934
000,3317803520
000,3317804110
000,3317804693
000,3317805281
000,3317805871
000,3317806458
000,3317807046
000,3317807637
000,3317808224
000,3317808812
000,3317809402
007,3317809987
055,3317810584
107,3317811167
144,3317811749
171,3317812329
186,3317812929
199,3317813522
209,3317814114
214,3317814705
216,3317815294
216,3317815879
198,3317816468
149,3317817053
103,3317817637
056,3317818226
014,3317818815
000,3317819408
000,3317819994
000,3317820588
000,3317821174
000,3317821766
000,3317822369
000,3317822958
000,3317823545
000,3317824129
000,3317824718
000,3317825304
000,3317825890
000,3317826484
000,3317827070
000,3317827659
000,3317828244
000,3317828830
000,3317829411
038,3317830000
087,3317830588
132,3317831172
162,3317831754
181,3317832403
195,3317832999
206,3317833583
212,3317834174
216,3317834759
216,3317835344
210,3317835929
166,3317836516
114,3317837097
067,3317837687
025,3317838279
000,3317838871
000,3317839456
000,3317840047
000,3317840633
000,3317841219
000,3317841850
000,3317842447
000,3317843040
000,3317843625
000,3317844211
000,3317844794
000,3317845379
000,3317845961
000,3317846548
000,3317847135
000,3317847725
000,3317848316
000,3317848901
026,3317849491
074,3317850080
123,3317850666
157,3317851247
177,3317851837
191,3317852426
202,3317853013
211,3317853600
215,3317854186
216,3317854775
215,3317855360
179,3317855946
131,3317856529
083,3317857117
041,3317857704
000,3317858293
000,3317858880
000,3317859487
000,3317860076
000,3317860662
000,3317861272
000,3317861863
000,3317862456
000,3317863044
000,3317863628
000,3317864213
000,3317864806
000,3317865396
000,3317865983
000,3317866572
000,3317867159
000,3317867746
000,3317868331
007,3317868918
056,3317869506
107,3317870092
145,3317870676
170,3317871279
187,3317871848
198,3317872417
208,3317872987
212,3317873552
215,3317874121
216,3317874688
205,3317875256
160,3317875828
112,3317876397
065,3317876967
026,3317877549
000,3317878115
000,3317878681
000,3317879252
000,3317879823
000,3317880394
000,3317881027
000,3317881625
000,3317882216
000,3317882805
000,3317883396
000,3317883983
000,3317884574
000,3317885181
000,3317885767
000,3317886357
000,3317886944
000,3317887533
000,3317888119
019,3317888710
067,3317889298
119,3317889879
152,3317890469
175,3317891068
190,3317891654
202,3317892241
211,3317892827
214,3317893408
216,3317893989
215,3317894568
181,3317895148
138,3317895731
090,3317896316
047,3317896906
004,3317897492
000,3317898081
000,3317898667
000,3317899253
000,3317899843
000,3317900476
000,3317901071
000,3317901667
000,3317902257
000,3317902845
000,3317903433
000,3317904022
000,3317904609
000,3317905195
000,3317905783
000,3317906368
000,3317906957
000,3317907543
003,3317908134
049,3317908723
102,3317909305
141,3317909914
167,3317910503
186,3317911070
197,3317911645
208,3317912225
212,3317912797
216,3317913364
216,3317913934
207,3317914503
163,3317915070
113,3317915642
068,3317916211
029,3317916780
000,3317917352
000,3317917927
000,3317918501
000,3317919067
000,3317919634
000,3317920311
000,3317920908
000,3317921496
000,3317922085
000,3317922676
000,3317923267
000,3317923859
000,3317924448
000,3317925040
000,3317925624
000,3317926215
000,3317926798
000,3317927385
020,3317927972
067,3317928561
116,3317929146
152,3317929770
175,3317930365
190,3317930947
202,3317931535
210,3317932118
214,3317932704
216,3317933295
215,3317933882
184,3317934470
135,3317935056
088,3317935648
045,3317936238
003,3317936826
000,3317937416
000,3317938005
000,3317938594
000,3317939183
000,3317939785
000,3317940375
000,3317940969
000,3317941567
000,3317942153
000,3317942762
000,3317943350
000,3317943936
000,3317944529
000,3317945122
000,3317945709
000,3317946297
000,3317946888
007,3317947485
057,3317948071
108,3317948655
145,3317949300
170,3317949878
188,3317950448
200,3317951020
209,3317951585
214,3317952153
215,3317952724
216,3317953295
202,3317953864
155,3317954436
109,3317955000
064,3317955571
024,3317956141
000,3317956714
000,3317957293
000,3317957860
000,3317958431
000,3317959168
000,3317959768
000,3317960357
000,3317960946
000,3317961534
000,3317962125
000,3317962720
000,3317963311
000,3317963896
000,3317964488
000,3317965090
000,3317965681
000,3317966265
000,3317966856
035,3317967444
085,3317968039
130,3317968624
161,3317969226
181,3317969813
194,3317970398
205,3317970988
212,3317971562
215,3317972132
216,3317972701
214,3317973273
177,3317973844
128,3317974414
081,3317974978
041,3317975574
000,3317976142
000,3317976716
000,3317977287
000,3317977857
000,3317978428
000,3317979027
000,3317979617
000,3317980205
000,3317980788
000,3317981377
000,3317981967
000,3317982556
000,3317983143
000,3317983733
000,3317984317
000,3317984907
000,3317985492
000,3317986079
002,3317986674
049,3317987262
100,3317987845
140,3317988441
168,3317989027
184,3317989614
197,3317990199
207,3317990793
212,3317991381
215,3317991963
215,3317992545
204,3317993129
156,3317993716
111,3317994352
060,3317994943
018,3317995536
000,3317996124
000,3317996716
000,3317997303
000,3317997894
000,3317998497
000,3317999087
000,3317999675
000,3318000264
000,3318000853
000,3318001445
000,3318002033
000,3318002626
000,3318003216
000,3318003800
000,3318004389
000,3318004982
000,3318005575
000,3318006166
